Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


PPFAS Mutual Fund
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.8644;;;29-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.6414;;;30-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.6334;;;31-Jul-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.3670;;;01-Aug-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.4746;;;02-Aug-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.2355;;;05-Aug-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.1674;;;06-Aug-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.2687;;;07-Aug-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.4190;;;08-Aug-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.7311;;;09-Aug-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.3177;;;13-Aug-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.4763;;;14-Aug-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.3542;;;16-Aug-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.4677;;;19-Aug-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.5787;;;20-Aug-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.4747;;;21-Aug-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.4354;;;22-Aug-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.3909;;;23-Aug-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.4438;;;26-Aug-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.5622;;;27-Aug-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.5142;;;28-Aug-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.4581;;;29-Aug-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.5900;;;30-Aug-2019
